timestamp,start time,total elapsed time,total timer time,total distance,total calories,avg heart rate,max heart rate,avg cadence,max cadence,avg power,total ascent,total descent,sport,avg temperature,min heart rate,avg vertical oscillation,avg stance time percent,avg stance time,enhanced avg speed,enhanced max speed,avg vertical ratio,avg step length,Effort Pace,kind,label
2024/8/6 9:21,2024/8/6 9:14,378.56,378.56,1000.0,69,156,164,85,92,199,15,1,running,9,140,0,0,0,2.642,3.155,0,970,2.873,热身,慢组
2024/8/6 9:27,2024/8/6 9:21,354.56,354.56,1000.0,70,165,179,86,89,228,41,0,running,8,148,0,0,0,2.82,3.125,0,970,3.636,热身,快组
2024/8/6 9:31,2024/8/6 9:27,266.84,266.84,628.6,38,147,180,80,89,148,5,31,running,9,130,0,0,0,2.356,3.049,0,920,2.127,热身,慢组
2024/8/6 9:34,2024/8/6 9:31,155.43,155.43,569.06,35,173,186,88,92,305,28,2,running,9,143,0,0,0,3.661,3.846,0,1240,4.95,中坡,快组
2024/8/6 9:37,2024/8/6 9:34,215.52,215.52,594.75,38,157,186,86,93,178,4,30,running,10,141,0,0,0,2.76,3.846,0,970,2.487,慢跑下坡,慢组
2024/8/6 9:40,2024/8/6 9:37,161.85,161.85,569.97,35,176,186,87,91,284,28,2,running,10,145,0,0,0,3.521,3.497,0,1210,4.807,中坡,快组
2024/8/6 9:44,2024/8/6 9:40,241.62,241.62,602.04,39,156,187,84,87,147,4,30,running,10,142,0,0,0,2.492,3.378,0,1000,2.178,慢跑下坡,慢组
2024/8/6 9:47,2024/8/6 9:44,166.25,166.25,574.04,36,176,185,87,90,278,28,2,running,10,147,0,0,0,3.453,3.436,0,1170,4.672,中坡,快组
2024/8/6 9:51,2024/8/6 9:47,235.77,235.77,603.91,37,156,186,84,87,143,4,31,running,10,142,0,0,0,2.561,3.367,0,990,2.207,慢跑下坡,慢组
2024/8/6 9:53,2024/8/6 9:51,171.13,171.13,578.31,36,176,186,87,89,276,28,2,running,10,140,0,0,0,3.379,3.436,0,1160,4.608,中坡,快组
2024/8/6 9:58,2024/8/6 9:53,255.8,255.8,608.64,39,153,186,83,88,141,5,33,running,10,138,0,0,0,2.379,3.367,0,930,2.066,慢跑下坡,慢组
2024/8/6 10:01,2024/8/6 9:58,176.54,176.54,571.03,36,170,184,87,90,280,31,1,running,10,131,0,0,0,3.235,3.571,0,1110,4.484,中坡,快组
2024/8/6 10:06,2024/8/6 10:01,330.25,330.25,608.97,45,145,184,80,116,114,3,36,running,10,113,0,0,0,1.844,5.155,0,830,1.6,慢跑下坡,慢组
2024/8/6 10:09,2024/8/6 10:06,173.51,173.51,571.75,36,169,184,88,92,277,30,0,running,11,118,0,0,0,3.295,3.484,0,1130,4.587,中坡,快组
2024/8/6 10:14,2024/8/6 10:09,324.69,324.69,610.18,42,161,185,86,122,117,5,35,running,10,131,0,0,0,1.879,3.448,0,760,1.633,慢跑下坡,慢组
2024/8/6 10:17,2024/8/6 10:14,174.03,174.03,567.39,36,169,183,87,91,284,30,0,running,11,128,0,0,0,3.26,3.65,0,1100,4.464,中坡,快组
2024/8/6 10:22,2024/8/6 10:17,268.21,268.21,602.01,41,149,184,85,91,130,5,34,running,11,119,0,0,0,2.245,3.39,0,950,1.923,慢跑下坡,慢组
2024/8/6 10:25,2024/8/6 10:22,168.74,168.74,566.85,36,164,176,88,95,290,30,1,running,12,119,0,0,0,3.359,3.745,0,1110,4.608,中坡,快组
2024/8/6 10:25,2024/8/6 10:25,6.71,6.71,11.03,1,175,179,90,91,301,1,0,running,12,173,0,0,0,1.644,3.401,0,1120,2.673,冷身,冷身
